nombre|stock|precio|marca|link|hora|fecha
Alimento para Gato Gati Pollo, Zanahoria y Espinaca 1 Kg.|6|178.10|GATI|https://diaonline.supermercadosdia.com.ar/alimento-para-gato-gati-pollo-zanahoria-y-espinaca-1-kg-273875/p|01:25:03|2022-03-20
Piedritas Sanitarias DIA 2 Kg.|24|269.99|DIA|https://diaonline.supermercadosdia.com.ar/piedritas-sanitarias-dia-2-kg-148397/p|01:25:03|2022-03-20
Alimento para Gatos DIA Pescado 500 Gr.|55|145.00|DIA|https://diaonline.supermercadosdia.com.ar/alimento-para-gatos-dia-pescado-500-gr-69692/p|01:25:03|2022-03-20
Alimento para Perros Dogui Cachorro con Carne, Pollo, Cereales, Vegetales y Leche 1,5 Kg.|20|431.34|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dogui-cachorro-con-carne-pollo-cereales-vegetales-y-leche-15-kg-278722/p|01:25:03|2022-03-20
Alimento para Perros Dogui Pollo con Vegetales 1,5 Kg.|12|189.10|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dogui-pollo-con-vegetales-15-kg-270257/p|01:25:03|2022-03-20
Alimento para Gatos Cat Chow Adultos Pescado 500 Gr.|16|266.51|CAT CHOW|https://diaonline.supermercadosdia.com.ar/alimento-para-gatos-cat-chow-adultos-pescado-500-gr-104374/p|01:25:03|2022-03-20
Alimento para Perros DIA Adultos Carne 3 Kg.|11|475.00|DIA|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dia-adultos-carne-3-kg-69640/p|01:25:03|2022-03-20
Alimento Seco para Gatos Gati Salmón y Pollo 500 Gr.|15|229.35|GATI|https://diaonline.supermercadosdia.com.ar/alimento-seco-para-gatos-gati-salmon-y-pollo-500-gr-282738/p|01:25:03|2022-03-20
Alimento Seco para Gatos Purina One Gatitos Pollo y Carne 500 Gr.|14|434.91|PURINA ONE|https://diaonline.supermercadosdia.com.ar/alimento-seco-para-gatos-purina-one-gatitos-pollo-y-carne-500-gr-277853/p|01:25:03|2022-03-20
Alimento para Gatos Cat Chow Mariscos y Pescado 1 Kg.|13|454.00|CAT CHOW|https://diaonline.supermercadosdia.com.ar/alimento-para-gatos-cat-chow-mariscos-y-pescado-1-kg-270253/p|01:25:03|2022-03-20
Alimento para Perros DIA Adultos Carne 1,3 Kg.|26|220.00|DIA|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dia-adultos-carne-13-kg-119305/p|01:25:03|2022-03-20
Alimento Seco para Gatos Cat Chow Adultos Carne y Pollo 500 Gr.|24|351.20|CAT CHOW|https://diaonline.supermercadosdia.com.ar/alimento-seco-para-gatos-cat-chow-adultos-carne-y-pollo-500-gr-282811/p|01:25:03|2022-03-20
Alimento Seco para Gatos Gati Salmón y Pollo 3 Kg.|8|993.32|GATI|https://diaonline.supermercadosdia.com.ar/alimento-seco-para-gatos-gati-salmon-y-pollo-3-kg-282739/p|01:25:03|2022-03-20
Alimento para Perros Dogui Cachorro con Carne, Pollo, Cereales, Vegetales y Leche 3 Kg.|8|775.88|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dogui-cachorro-con-carne-pollo-cereales-vegetales-y-leche-3-kg-278724/p|01:25:03|2022-03-20
Alimento para Perros Dogui con Carne, Pollo, Cereales y Vegetales 1,5 Kg.|11|392.00|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dogui-con-carne-pollo-cereales-y-vegetales-15-kg-278721/p|01:25:03|2022-03-20
Alimento para Perros Dogui con Carne, Pollo, Cereales y Vegetales 8 Kg.|3|1.673.06|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dogui-con-carne-pollo-cereales-y-vegetales-8-kg-278719/p|01:25:03|2022-03-20
Alimento para Perros Dog Chow Control de Peso Adultos 1,5 Kg.|2|360.00|DOG CHOW|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dog-chow-control-de-peso-adultos-15-kg-274871/p|01:25:03|2022-03-20
Alimento para Perros Dog Chow Adultos sin colorantes Pollo y Carne 3 Kg.|2|640.00|DOG CHOW|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dog-chow-adultos-sin-colorantes-pollo-y-carne-3-kg-273376/p|01:25:03|2022-03-20
Alimento para Gatos Cat Chow 1 - 12 meses 500 Gr.|11|228.14|CAT CHOW|https://diaonline.supermercadosdia.com.ar/alimento-para-gatos-cat-chow-1--12-meses-500-gr-236978/p|01:25:03|2022-03-20
Alimento para Perros DIA Adultos Carne 8 Kg.|7|1.230.00|DIA|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dia-adultos-carne-8-kg-69690/p|01:25:03|2022-03-20
Juguete Dogzilla Dino Claw|4|3.050.00|Dogzilla       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/juguete-dogzilla-dino-claw-722462/p|01:25:03|2022-03-20
Dogzilla Mordillo Lockin Links|18|4.510.00|Dogzilla       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/dogzilla-mordillo-lockin-links-722460/p|01:25:03|2022-03-20
Anillo Chuckit Indoor Roller|11|3.990.00|LA POSADEÑA       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/anillo-chuckit-indoor-roller-722459/p|01:25:03|2022-03-20
Peluche JW Serpiente Incredible Strzzzing Yankers|20|2.420.00|FUN CANDY       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/peluche-jw-serpiente-incredible-strzzzing-yankers-722458/p|01:25:03|2022-03-20
Peluche JW Pez Incredible Strizzing Yankers|4|3.020.00|FUN CANDY       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/peluche-jw-pez-incredible-strizzing-yankers-722457/p|01:25:03|2022-03-20
Peluche JW Classic Speingy Worms|3|910.00|FUN CANDY       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/peluche-jw-classic-speingy-worms-722456/p|01:25:03|2022-03-20
Peluche JW Classic Terrible Nasty Scaries|7|3.100.00|FUN CANDY       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/peluche-jw-classic-terrible-nasty-scaries-722454/p|01:25:03|2022-03-20
Juguete JW Cataction Ball Wand|3|2.550.00|FUN CANDY       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/juguete-jw-cataction-ball-wand-722452/p|01:25:03|2022-03-20
Raton JW Cataction|6|1.190.00|FUN CANDY       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/raton-jw-cataction-722450/p|01:25:03|2022-03-20
Pelota JW Cataction Con Serpentina|4|1.060.00|FUN CANDY       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pelota-jw-cataction-con-serpentina-722449/p|01:25:03|2022-03-20
Pelota JW Cataction Con Plumas Y Cascabel|39|1.460.00|FUN CANDY       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pelota-jw-cataction-con-plumas-y-cascabel-722448/p|01:25:03|2022-03-20
Juguete JW Featherlite Catnp Boa Springy|7|1.920.00|FUN CANDY       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/juguete-jw-featherlite-catnp-boa-springy-722447/p|01:25:03|2022-03-20
Juguete JW Featherlite Catnip Boa Bouncing|67|1.410.00|FUN CANDY       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/juguete-jw-featherlite-catnip-boa-bouncing-722446/p|01:25:03|2022-03-20
Lanza Pelotas Chuckit Pro 25M|31|5.980.00|LA POSADEÑA       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/lanza-pelotas-chuckit-pro-25m-722443/p|01:25:03|2022-03-20
Mordillo Chuckit Tumble Bumper|14|3.900.00|LA POSADEÑA       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/mordillo-chuckit-tumble-bumper-722441/p|01:25:03|2022-03-20
Juguete Chuckit Tri-Bumper|9|4.310.00|LA POSADEÑA       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/juguete-chuckit-tri-bumper-722436/p|01:25:03|2022-03-20
Pelota JW Grass Ball|1|1.870.00|FUN CANDY       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pelota-jw-grass-ball-722435/p|01:25:03|2022-03-20
Tubo FPI 4810 Curvo Para Hamsters|2|450.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/tubo-fpi-4810-curvo-para-hamsters-722430/p|01:25:03|2022-03-20
Sacanudos Gro 5968 Para Perros|1|1.260.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/sacanudos-gro-5968-para-perros-722429/p|01:25:03|2022-03-20
Rodillo Gro 5952 Saca Pelos|1|570.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/rodillo-gro-5952-saca-pelos-722428/p|01:25:03|2022-03-20
Varita Zootec Para Gato Nº2|83|870.00|Zootec       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/varita-zootec-para-gato-nº2-722427/p|01:25:03|2022-03-20
Varita Zootec Para Gato Nº1|118|940.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/varita-zootec-para-gato-nº1-722426/p|01:25:03|2022-03-20
Porta Bolsas Dudu Clasico Mix Colours|1|1.200.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/porta-bolsas-dudu-clasico-mix-colours-722416/p|01:25:03|2022-03-20
Peine Gro 5874 Con Dientes Rotativos|38|1.630.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/peine-gro-5874-con-dientes-rotativos-722414/p|01:25:03|2022-03-20
Peine Gro 5838 Para Perro|20|460.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/peine-gro-5838-para-perro-722413/p|01:25:03|2022-03-20
Peine Doble Gro 5864 De Acero|20|1.770.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/peine-doble-gro-5864-de-acero-722411/p|01:25:03|2022-03-20
Peine Doble GRO 5836 Flea Para Perro|7|140.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/peine-doble-gro-5836-flea-para-perro-722410/p|01:25:03|2022-03-20
Peine Con Cuchilla Gro 5962|10|1.480.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/peine-con-cuchilla-gro-5962-722409/p|01:25:03|2022-03-20
Juguete Para Gatos Puntero Laser|1|1.130.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/juguete-para-gatos-puntero-laser-722403/p|01:25:03|2022-03-20
Hamstera Combi 1|1|6.480.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/hamstera-combi-1-722401/p|01:25:03|2022-03-20
Estaca Espiral 6514|5|1.690.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/estaca-espiral-6514-722400/p|01:25:03|2022-03-20
Cortauñas Gro 5984 Para Perro|10|610.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/cortauñas-gro-5984-para-perro-722397/p|01:25:03|2022-03-20
Correa Elastica Twin Para Dos Perros|4|4.500.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/correa-elastica-twin-para-dos-perros-722394/p|01:25:03|2022-03-20
Conjunto Ergocomfort Freetime|24|9.000.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/conjunto-ergocomfort-freetime-722391/p|01:25:03|2022-03-20
Comedero Brava Transparente Para Aves|14|860.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/comedero-brava-transparente-para-aves-722389/p|01:25:03|2022-03-20
Cepillo Gro 5794 Cat|5|940.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/cepillo-gro-5794-cat-722383/p|01:25:03|2022-03-20
Casita Kuci Multicolor Para Hamster|1|1.620.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/casita-kuci-multicolor-para-hamster-722381/p|01:25:03|2022-03-20
Cardina Gro 5955 Con Boton Saca Pelo|1|1.410.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/cardina-gro-5955-con-boton-saca-pelo-722378/p|01:25:03|2022-03-20
Bozal Safe Muzzle Boxer Black|12|2.370.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/bozal-safe-muzzle-boxer-black-722376/p|01:25:03|2022-03-20
Bolsa Treats|1|1.820.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/bolsa-treats-722374/p|01:25:03|2022-03-20
Set De Cepillado Para Pequeños Roedores|10|2.540.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/set-de-cepillado-para-pequeños-roedores-722373/p|01:25:03|2022-03-20
Pelota De Tenis Con Cuerda|1|370.00|GUM       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pelota-de-tenis-con-cuerda-722350/p|01:25:03|2022-03-20
Pelota Erizo Fluorescente|1|510.00|GUM       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pelota-erizo-fluorescente-722338/p|01:25:03|2022-03-20
Repuesto Para Bebedero Fuente Dogit Fresh&Clear|118|610.00|MASTER COOK       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/repuesto-para-bebedero-fuente-dogit-fresh-clear-722288/p|01:25:03|2022-03-20
Correa De Seguridad Black Para Auto|1|1.540.00|ESPUÑA       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/correa-de-seguridad-black-para-auto-722282/p|01:25:03|2022-03-20
Pelota Con Soga Play & Chew|86|1.090.00|Pawise       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pelota-con-soga-play---chew-722275/p|01:25:03|2022-03-20
Kit Inicio Para Conejos 40"|6|9.060.00|Pawise       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/kit-inicio-para-conejos-40--722274/p|01:25:03|2022-03-20
Rascador Arqueado De Carton|98|1.810.00|Pawise       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/rascador-arqueado-de-carton-722267/p|01:25:03|2022-03-20
Pelota Toss Tugger Rugby|3|970.00|Pawise       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pelota-toss-tugger-rugby-722261/p|01:25:03|2022-03-20
Pelota Toss Tugger|1|970.00|Pawise       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pelota-toss-tugger-722260/p|01:25:03|2022-03-20
Pelota De Goma Con Soga|1|830.00|Pawise       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pelota-de-goma-con-soga-722258/p|01:25:03|2022-03-20
Pelota Con Chifle Pawise|5|950.00|Pawise       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pelota-con-chifle-pawise-722257/p|01:25:03|2022-03-20
Hueso Duro  Chew Panceta|52|1.310.00|Pawise       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/hueso-duro--chew-panceta-722240/p|01:25:03|2022-03-20
Hueso Dosificador Pawise|28|770.00|Pawise       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/hueso-dosificador-pawise-722239/p|01:25:03|2022-03-20
Bola De Ejercicio|86|810.00|Pawise       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/bola-de-ejercicio-722231/p|01:25:03|2022-03-20
Transportadora Gulliver|28|5.330.00|Pet Brand       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/transportadora-gulliver-722228/p|01:25:03|2022-03-20
Juguete Kong Puppy Goodie Bone|2|2.190.00|CIMES       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/juguete-kong-puppy-goodie-bone-722222/p|01:25:03|2022-03-20
Soga Twist Tug Con Pelota Fitness K9|2|1.790.00|SAINT TROPEZ       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/soga-twist-tug-con-pelota-fitness-k9-722221/p|01:25:03|2022-03-20
Aquamed Acondicionador Cicli|2|730.00|COLON (VINO)       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/aquamed-acondicionador-cicli-722210/p|01:25:03|2022-03-20
Ranch Alfalfa En Cubos|75|340.00|Nelsoni Ranch       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/ranch-alfalfa-en-cubos-722206/p|01:25:03|2022-03-20
Alfalfa En Rama Mega Pack|79|580.00|Nelsoni Ranch       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/alfalfa-en-rama-mega-pack-722205/p|01:25:03|2022-03-20
Cama Lola Maui|5|7.720.00|PRACTICAL       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/cama-lola-maui-722203/p|01:25:03|2022-03-20
Jaula Furat Para Hurón Con Apertura De Techo|8|23.430.00|Ferplast       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/jaula-furat-para-huron-con-apertura-de-techo-722200/p|01:25:03|2022-03-20
Company Adulto|17|4.130.00|Company       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/company-adulto-722199/p|01:25:03|2022-03-20
Pañales PañoPet Extra Grande Para Perros|18|300.00|GO       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pañales-pañopet-extra-grande-para-perros-722195/p|01:25:03|2022-03-20
Filtro Tetra Whisper 10|5|970.00|1888       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/filtro-tetra-whisper-10-722187/p|01:25:03|2022-03-20
Bettera Con Plantas Aqua Culture|3|1.580.00|CONTRACARA       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/bettera-con-plantas-aqua-culture-722182/p|01:25:03|2022-03-20
Bettera Con Gemas Aqua Culture|5|2.150.00|CONTRACARA       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/bettera-con-gemas-aqua-culture-722181/p|01:25:03|2022-03-20
